,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
104,2012,AR,647744.0,1069468,394409.0,0.23687945782389008,0.2762723141603955,0.2749735477013549
105,2012,AZ,1233654.0,2299254,1025232.0,0.09064766224175319,0.1300405185782586,0.13697158154739625
106,2012,CA,4839958.0,13038547,7854285.0,-0.2311858062098484,-0.191792949873343,-0.18584796094763678
107,2012,CO,1185050.0,2569217,1322998.0,-0.05369262308321954,-0.014299766746714127,-0.014965411644376772
108,2012,CT,624210.0,1533545,891674.0,-0.17440896745775314,-0.13501611112124773,-0.13962221727211563
109,2012,DC,21381.0,293764,267070.0,-0.8363482251058673,-0.7969553687693618,-0.794386707058415
110,2012,DE,165484.0,413937,242584.0,-0.18626022800571107,-0.14686737166920566,-0.15449841708918094
111,2012,FL,4163447.0,8474179,4237756.0,-0.00876887306723162,0.03062398326927379,0.03407379210760564
112,2012,GA,2078688.0,3900050,1773827.0,0.0781684850194228,0.11756134135592822,0.11934357626841474
113,2012,HI,120937.0,434221,306266.0,-0.42680800790380935,-0.38741515156730394,-0.3854933927761813
114,2012,IA,730617.0,1582180,822544.0,-0.05810148023612988,-0.018708623899624466,-0.019731869169462013
115,2012,ID,420911.0,652274,212787.0,0.3190744993668305,0.35846735570333593,0.3505657103531703
116,2012,IL,2135102.0,5241891,3019512.0,-0.1687196471654981,-0.12932679082899268,-0.14168809448112496
117,2012,IN,1420543.0,2624534,1152887.0,0.10198229476166054,0.14137515109816595,0.12159255241558001
118,2012,KS,689809.0,1156254,439908.0,0.2161298469021512,0.2555227032386566,0.247183945546733
119,2012,KY,1087190.0,1797212,679370.0,0.22691813764875823,0.26631099398526364,0.25845420229578897
120,2012,LA,1152262.0,1994065,809141.0,0.172071121051721,0.21146397738822642,0.22350093685894937
121,2012,MA,1188314.0,3167767,1921290.0,-0.2313857048198305,-0.1919928484833251,-0.19037236556982975
122,2012,MD,971869.0,2707327,1677844.0,-0.26076458440373107,-0.22137172806722566,-0.21149965860020745
123,2012,ME,291418.0,710126,399235.0,-0.1518279854561022,-0.1124351291195968,-0.10948944399582204
124,2012,MI,2115256.0,4730961,2564569.0,-0.09497288183098529,-0.05558002549447988,-0.0647262732339361
125,2012,MN,1320225.0,2936561,1546167.0,-0.07694102046577611,-0.0375481641292707,-0.03561332698826006
126,2012,MO,1482440.0,2757312,1223796.0,0.09380295011953671,0.13319580645604212,0.1183716214515107
127,2012,MS,710746.0,1285584,562949.0,0.11496487199591776,0.15435772833242317,0.16694466683646042
128,2012,MT,267928.0,483932,201839.0,0.13656670771926627,0.17595956405577168,0.156009210624002
129,2012,NC,2270395.0,4505372,2178391.0,0.020420955250753936,0.05981381158725935,0.06217937765862552
130,2012,ND,188320.0,322932,124966.0,0.196183716695775,0.2355765730322804,0.21639753067550788
131,2012,NE,475064.0,794379,302081.0,0.2177587776111906,0.257151633947696,0.24833889468698422
132,2012,NH,329918.0,710931,369561.0,-0.05576209224242579,-0.016369235905920376,-0.018149398148326334
