,current_party,district,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
K000391,D,8,-0.31,2021-01-03,Raja,True,Krishnamoorthi,K000391,,Raja Krishnamoorthi,D,2017-01-03,IL
K000382,D,2,-0.253,2021-01-03,Ann,True,Kuster,K000382,McLane,Ann McLane Kuster,D,2013-01-03,NH
K000392,R,8,0.531,2021-01-03,David,True,Kustoff,K000392,,David Kustoff,R,2017-01-03,TN
L000585,R,18,0.458,2021-01-03,Darin,True,LaHood,L000585,M.,Darin M. LaHood,R,2015-09-17,IL
L000578,R,1,0.547,2021-01-03,Doug,True,LaMalfa,L000578,,Doug LaMalfa,R,2013-01-03,CA
L000588,D,17,-0.093,2021-01-03,Conor,True,Lamb,L000588,,Conor Lamb,D,2018-04-12,PA
L000564,R,5,0.686,2021-01-03,Doug,True,Lamborn,L000564,,Doug Lamborn,R,2007-01-04,CO
L000559,D,2,-0.376,2021-01-03,Jim,True,Langevin,L000559,,Jim Langevin,D,2001-01-03,RI
L000560,D,2,-0.364,2021-01-03,Rick,True,Larsen,L000560,,Rick Larsen,D,2001-01-03,WA
L000557,D,1,-0.398,2021-01-03,John,True,Larson,L000557,B.,John B. Larson,D,1999-01-06,CT
L000566,R,5,0.519,2021-01-03,Robert,True,Latta,L000566,E.,Robert E. Latta,R,2007-12-11,OH
L000581,D,14,-0.444,2021-01-03,Brenda,True,Lawrence,L000581,,Brenda Lawrence,D,2015-01-06,MI
L000586,D,5,-0.255,2021-01-03,Al,True,Lawson,L000586,,Al Lawson,D,2017-01-03,FL
L000551,D,13,-0.683,2021-01-03,Barbara,True,Lee,L000551,,Barbara Lee,D,1997-01-07,CA
L000590,D,3,,2021-01-03,Susie,True,Lee,L000590,,Susie Lee,D,2019-01-03,NV
L000589,R,8,0.643,2021-01-03,Debbie,True,Lesko,L000589,,Debbie Lesko,R,2018-05-07,AZ
L000593,D,49,,2021-01-03,Mike,True,Levin,L000593,,Mike Levin,D,2019-01-03,CA
L000592,D,9,,2021-01-03,Andy,True,Levin,L000592,,Andy Levin,D,2019-01-03,MI
L000287,D,5,-0.59,2021-01-03,John,True,Lewis,L000287,,John Lewis,D,1987-01-06,GA
L000582,D,33,-0.362,2021-01-03,Ted,True,Lieu,L000582,,Ted Lieu,D,2015-01-06,CA
L000563,D,3,-0.232,2021-01-03,Daniel,True,Lipinski,L000563,,Daniel Lipinski,D,2005-01-04,IL
L000565,D,2,-0.276,2021-01-03,Dave,True,Loebsack,L000565,,Dave Loebsack,D,2007-01-04,IA
L000397,D,19,-0.402,2021-01-03,Zoe,True,Lofgren,L000397,,Zoe Lofgren,D,1995-01-04,CA
L000576,R,7,0.545,2021-01-03,Billy,True,Long,L000576,,Billy Long,R,2011-01-04,MO
L000583,R,11,0.667,2021-01-03,Barry,True,Loudermilk,L000583,,Barry Loudermilk,R,2015-01-06,GA
L000579,D,47,-0.45,2021-01-03,Alan,True,Lowenthal,L000579,,Alan Lowenthal,D,2013-01-03,CA
L000480,D,17,-0.389,2021-01-03,Nita,True,Lowey,L000480,M.,Nita M. Lowey,D,1989-01-03,NY
L000491,R,3,0.364,2021-01-03,Frank,True,Lucas,L000491,D.,Frank D. Lucas,R,1993-01-05,OK
L000569,R,3,0.446,2021-01-03,Blaine,True,Luetkemeyer,L000569,,Blaine Luetkemeyer,R,2009-01-06,MO
